lote;x;y
0011;251383.310712327;7237020.54959753
0011;251385.254712327;7237020.54959753
0011;251387.198712327;7237020.54959753
0011;251389.142712327;7237020.54959753
0011;251391.086712327;7237020.54959753
0011;251393.030712327;7237020.54959753
0011;251394.974712327;7237020.54959753
0011;251396.918712327;7237020.54959753
0011;251398.862712327;7237020.54959753
0011;251400.806712327;7237020.54959753
0011;251402.750712327;7237020.54959753
0011;251404.694712327;7237020.54959753
0011;251406.638712327;7237020.54959753
0011;251408.582712327;7237020.54959753
0011;251375.534712327;7237018.54959753
0011;251377.478712327;7237018.54959753
0011;251379.422712327;7237018.54959753
0011;251381.366712327;7237018.54959753
0011;251383.310712327;7237018.54959753
0011;251385.254712327;7237018.54959753
0011;251387.198712327;7237018.54959753
0011;251389.142712327;7237018.54959753
0011;251391.086712327;7237018.54959753
0011;251393.030712327;7237018.54959753
0011;251394.974712327;7237018.54959753
0011;251396.918712327;7237018.54959753
0011;251398.862712327;7237018.54959753
0011;251400.806712327;7237018.54959753
0011;251402.750712327;7237018.54959753
0011;251404.694712327;7237018.54959753
0011;251406.638712327;7237018.54959753
0011;251408.582712327;7237018.54959753
0011;251375.534712327;7237016.54959753
0011;251377.478712327;7237016.54959753
0011;251379.422712327;7237016.54959753
0011;251381.366712327;7237016.54959753
0011;251383.310712327;7237016.54959753
0011;251385.254712327;7237016.54959753
0011;251387.198712327;7237016.54959753
0011;251389.142712327;7237016.54959753
0011;251391.086712327;7237016.54959753
0011;251393.030712327;7237016.54959753
0011;251394.974712327;7237016.54959753
0011;251396.918712327;7237016.54959753
0011;251398.862712327;7237016.54959753
0011;251400.806712327;7237016.54959753
0011;251402.750712327;7237016.54959753
0011;251404.694712327;7237016.54959753
0011;251406.638712327;7237016.54959753
0011;251408.582712327;7237016.54959753
0011;251375.534712327;7237014.54959753
0011;251377.478712327;7237014.54959753
0011;251379.422712327;7237014.54959753
0011;251381.366712327;7237014.54959753
0011;251383.310712327;7237014.54959753
0011;251385.254712327;7237014.54959753
0011;251387.198712327;7237014.54959753
0011;251389.142712327;7237014.54959753
0011;251391.086712327;7237014.54959753
0011;251393.030712327;7237014.54959753
0011;251394.974712327;7237014.54959753
0011;251396.918712327;7237014.54959753
0011;251398.862712327;7237014.54959753
0011;251400.806712327;7237014.54959753
0011;251402.750712327;7237014.54959753
0011;251404.694712327;7237014.54959753
0011;251406.638712327;7237014.54959753
0011;251408.582712327;7237014.54959753
0011;251375.534712327;7237012.54959753
0011;251377.478712327;7237012.54959753
0011;251379.422712327;7237012.54959753
0011;251381.366712327;7237012.54959753
0011;251383.310712327;7237012.54959753
0011;251385.254712327;7237012.54959753
0011;251387.198712327;7237012.54959753
0011;251389.142712327;7237012.54959753
0011;251391.086712327;7237012.54959753
0011;251393.030712327;7237012.54959753
0011;251394.974712327;7237012.54959753
0011;251396.918712327;7237012.54959753
0011;251398.862712327;7237012.54959753
0011;251400.806712327;7237012.54959753
0011;251402.750712327;7237012.54959753
0011;251404.694712327;7237012.54959753
0011;251406.638712327;7237012.54959753
0011;251408.582712327;7237012.54959753
0011;251375.534712327;7237010.54959753
0011;251377.478712327;7237010.54959753
0011;251379.422712327;7237010.54959753
0011;251381.366712327;7237010.54959753
0011;251383.310712327;7237010.54959753
0011;251385.254712327;7237010.54959753
0011;251387.198712327;7237010.54959753
0011;251389.142712327;7237010.54959753
0011;251391.086712327;7237010.54959753
0011;251393.030712327;7237010.54959753
0011;251394.974712327;7237010.54959753
0011;251396.918712327;7237010.54959753
0011;251398.862712327;7237010.54959753
0011;251400.806712327;7237010.54959753
0011;251402.750712327;7237010.54959753
0011;251404.694712327;7237010.54959753
0011;251406.638712327;7237010.54959753
0011;251408.582712327;7237010.54959753
0011;251375.534712327;7237008.54959753
0011;251377.478712327;7237008.54959753
0011;251379.422712327;7237008.54959753
0011;251381.366712327;7237008.54959753
0011;251383.310712327;7237008.54959753
0011;251385.254712327;7237008.54959753
0011;251387.198712327;7237008.54959753
0011;251389.142712327;7237008.54959753
0011;251391.086712327;7237008.54959753
0011;251393.030712327;7237008.54959753
0011;251394.974712327;7237008.54959753
0011;251396.918712327;7237008.54959753
0011;251398.862712327;7237008.54959753
0011;251400.806712327;7237008.54959753
0011;251402.750712327;7237008.54959753
0011;251404.694712327;7237008.54959753
0011;251406.638712327;7237008.54959753
0011;251408.582712327;7237008.54959753
0011;251375.534712327;7237006.54959753
0011;251377.478712327;7237006.54959753
0011;251379.422712327;7237006.54959753
0011;251381.366712327;7237006.54959753
0011;251383.310712327;7237006.54959753
0011;251385.254712327;7237006.54959753
0011;251387.198712327;7237006.54959753
0011;251389.142712327;7237006.54959753
0011;251391.086712327;7237006.54959753
0011;251393.030712327;7237006.54959753
0011;251394.974712327;7237006.54959753
0011;251396.918712327;7237006.54959753
0011;251398.862712327;7237006.54959753
0011;251400.806712327;7237006.54959753
0011;251402.750712327;7237006.54959753
0011;251404.694712327;7237006.54959753
0011;251406.638712327;7237006.54959753
0011;251408.582712327;7237006.54959753
0011;251375.534712327;7237004.54959753
0011;251377.478712327;7237004.54959753
0011;251379.422712327;7237004.54959753
0011;251381.366712327;7237004.54959753
0011;251383.310712327;7237004.54959753
0011;251385.254712327;7237004.54959753
0011;251387.198712327;7237004.54959753
0011;251389.142712327;7237004.54959753
0011;251391.086712327;7237004.54959753
0011;251393.030712327;7237004.54959753
0011;251394.974712327;7237004.54959753
0011;251396.918712327;7237004.54959753
0011;251398.862712327;7237004.54959753
0011;251400.806712327;7237004.54959753
0011;251402.750712327;7237004.54959753
0011;251404.694712327;7237004.54959753
0011;251406.638712327;7237004.54959753
0011;251408.582712327;7237004.54959753
0011;251375.534712327;7237002.54959753
0011;251377.478712327;7237002.54959753
0011;251379.422712327;7237002.54959753
0011;251381.366712327;7237002.54959753
0011;251383.310712327;7237002.54959753
0011;251385.254712327;7237002.54959753
0011;251387.198712327;7237002.54959753
0011;251389.142712327;7237002.54959753
0011;251391.086712327;7237002.54959753
0011;251393.030712327;7237002.54959753
0011;251394.974712327;7237002.54959753
0011;251396.918712327;7237002.54959753
0011;251398.862712327;7237002.54959753
0011;251400.806712327;7237002.54959753
0011;251402.750712327;7237002.54959753
0011;251404.694712327;7237002.54959753
0011;251406.638712327;7237002.54959753
0011;251408.582712327;7237002.54959753
0011;251375.534712327;7237000.54959753
0011;251377.478712327;7237000.54959753
0011;251379.422712327;7237000.54959753
0011;251381.366712327;7237000.54959753
0011;251383.310712327;7237000.54959753
0011;251385.254712327;7237000.54959753
0011;251387.198712327;7237000.54959753
0011;251389.142712327;7237000.54959753
0011;251391.086712327;7237000.54959753
0011;251393.030712327;7237000.54959753
0011;251394.974712327;7237000.54959753
0011;251396.918712327;7237000.54959753
0011;251398.862712327;7237000.54959753
0011;251400.806712327;7237000.54959753
0011;251402.750712327;7237000.54959753
0011;251404.694712327;7237000.54959753
0011;251406.638712327;7237000.54959753
0011;251408.582712327;7237000.54959753
0011;251375.534712327;7236998.54959753
0011;251377.478712327;7236998.54959753
0011;251379.422712327;7236998.54959753
0011;251381.366712327;7236998.54959753
0011;251383.310712327;7236998.54959753
0011;251385.254712327;7236998.54959753
0011;251387.198712327;7236998.54959753
0011;251389.142712327;7236998.54959753
0011;251391.086712327;7236998.54959753
0011;251393.030712327;7236998.54959753
0011;251394.974712327;7236998.54959753
0011;251396.918712327;7236998.54959753
0011;251398.862712327;7236998.54959753
0011;251400.806712327;7236998.54959753
0011;251402.750712327;7236998.54959753
0011;251404.694712327;7236998.54959753
0011;251406.638712327;7236998.54959753
0011;251408.582712327;7236998.54959753
0011;251375.534712327;7236996.54959753
0011;251377.478712327;7236996.54959753
0011;251379.422712327;7236996.54959753
0011;251381.366712327;7236996.54959753
0011;251383.310712327;7236996.54959753
0011;251385.254712327;7236996.54959753
0011;251387.198712327;7236996.54959753
0011;251389.142712327;7236996.54959753
0011;251391.086712327;7236996.54959753
0011;251393.030712327;7236996.54959753
0011;251394.974712327;7236996.54959753
0011;251396.918712327;7236996.54959753
0011;251398.862712327;7236996.54959753
0011;251400.806712327;7236996.54959753
0011;251402.750712327;7236996.54959753
0011;251404.694712327;7236996.54959753
0011;251406.638712327;7236996.54959753
0011;251408.582712327;7236996.54959753
0011;251375.534712327;7236994.54959753
0011;251377.478712327;7236994.54959753
0011;251379.422712327;7236994.54959753
0011;251381.366712327;7236994.54959753
0011;251383.310712327;7236994.54959753
0011;251385.254712327;7236994.54959753
0011;251387.198712327;7236994.54959753
0011;251389.142712327;7236994.54959753
0011;251391.086712327;7236994.54959753
0011;251393.030712327;7236994.54959753
0011;251394.974712327;7236994.54959753
0011;251396.918712327;7236994.54959753
0011;251398.862712327;7236994.54959753
0011;251400.806712327;7236994.54959753
0011;251402.750712327;7236994.54959753
0011;251404.694712327;7236994.54959753
0011;251406.638712327;7236994.54959753
0011;251408.582712327;7236994.54959753
0011;251375.534712327;7236992.54959753
0011;251377.478712327;7236992.54959753
0011;251379.422712327;7236992.54959753
0011;251381.366712327;7236992.54959753
0011;251383.310712327;7236992.54959753
0011;251385.254712327;7236992.54959753
0011;251387.198712327;7236992.54959753
0011;251389.142712327;7236992.54959753
0011;251391.086712327;7236992.54959753
0011;251393.030712327;7236992.54959753
0011;251394.974712327;7236992.54959753
0011;251396.918712327;7236992.54959753
0011;251398.862712327;7236992.54959753
0011;251400.806712327;7236992.54959753
0011;251402.750712327;7236992.54959753
0011;251404.694712327;7236992.54959753
0011;251406.638712327;7236992.54959753
0011;251408.582712327;7236992.54959753
0011;251375.534712327;7236990.54959753
0011;251377.478712327;7236990.54959753
0011;251379.422712327;7236990.54959753
0011;251381.366712327;7236990.54959753
0011;251383.310712327;7236990.54959753
0011;251385.254712327;7236990.54959753
0011;251387.198712327;7236990.54959753
0011;251389.142712327;7236990.54959753
0011;251391.086712327;7236990.54959753
0011;251393.030712327;7236990.54959753
0011;251394.974712327;7236990.54959753
0011;251396.918712327;7236990.54959753
0011;251398.862712327;7236990.54959753
0011;251400.806712327;7236990.54959753
0011;251402.750712327;7236990.54959753
0011;251404.694712327;7236990.54959753
0011;251406.638712327;7236990.54959753
0011;251408.582712327;7236990.54959753
0011;251375.534712327;7236988.54959753
0011;251377.478712327;7236988.54959753
0011;251379.422712327;7236988.54959753
0011;251381.366712327;7236988.54959753
0011;251383.310712327;7236988.54959753
0011;251385.254712327;7236988.54959753
0011;251387.198712327;7236988.54959753
0011;251389.142712327;7236988.54959753
0011;251391.086712327;7236988.54959753
0011;251393.030712327;7236988.54959753
0011;251394.974712327;7236988.54959753
0011;251396.918712327;7236988.54959753
0011;251398.862712327;7236988.54959753
0011;251400.806712327;7236988.54959753
0011;251402.750712327;7236988.54959753
0011;251404.694712327;7236988.54959753
0011;251406.638712327;7236988.54959753
0011;251408.582712327;7236988.54959753
0011;251375.534712327;7236986.54959753
0011;251377.478712327;7236986.54959753
0011;251379.422712327;7236986.54959753
0011;251381.366712327;7236986.54959753
0011;251383.310712327;7236986.54959753
0011;251385.254712327;7236986.54959753
0011;251387.198712327;7236986.54959753
0011;251389.142712327;7236986.54959753
0011;251391.086712327;7236986.54959753
0011;251393.030712327;7236986.54959753
0011;251394.974712327;7236986.54959753
0011;251396.918712327;7236986.54959753
0011;251398.862712327;7236986.54959753
0011;251400.806712327;7236986.54959753
0011;251402.750712327;7236986.54959753
0011;251404.694712327;7236986.54959753
0011;251406.638712327;7236986.54959753
0011;251408.582712327;7236986.54959753
0011;251375.534712327;7236984.54959753
0011;251377.478712327;7236984.54959753
0011;251379.422712327;7236984.54959753
0011;251381.366712327;7236984.54959753
0011;251383.310712327;7236984.54959753
0011;251385.254712327;7236984.54959753
0011;251387.198712327;7236984.54959753
0011;251389.142712327;7236984.54959753
0011;251391.086712327;7236984.54959753
0011;251393.030712327;7236984.54959753
0011;251394.974712327;7236984.54959753
0011;251396.918712327;7236984.54959753
0011;251398.862712327;7236984.54959753
0011;251400.806712327;7236984.54959753
0011;251402.750712327;7236984.54959753
0011;251404.694712327;7236984.54959753
0011;251406.638712327;7236984.54959753
0011;251408.582712327;7236984.54959753
0011;251375.534712327;7236982.54959753
0011;251377.478712327;7236982.54959753
0011;251379.422712327;7236982.54959753
0011;251381.366712327;7236982.54959753
0011;251383.310712327;7236982.54959753
0011;251385.254712327;7236982.54959753
0011;251387.198712327;7236982.54959753
0011;251389.142712327;7236982.54959753
0011;251391.086712327;7236982.54959753
0011;251393.030712327;7236982.54959753
0011;251394.974712327;7236982.54959753
0011;251396.918712327;7236982.54959753
0011;251398.862712327;7236982.54959753
0011;251400.806712327;7236982.54959753
0011;251402.750712327;7236982.54959753
0011;251404.694712327;7236982.54959753
0011;251406.638712327;7236982.54959753
0011;251408.582712327;7236982.54959753
0011;251375.534712327;7236980.54959753
0011;251377.478712327;7236980.54959753
0011;251379.422712327;7236980.54959753
0011;251381.366712327;7236980.54959753
0011;251383.310712327;7236980.54959753
0011;251385.254712327;7236980.54959753
0011;251387.198712327;7236980.54959753
0011;251389.142712327;7236980.54959753
0011;251391.086712327;7236980.54959753
0011;251393.030712327;7236980.54959753
0011;251394.974712327;7236980.54959753
0011;251396.918712327;7236980.54959753
0011;251398.862712327;7236980.54959753
0011;251400.806712327;7236980.54959753
0011;251402.750712327;7236980.54959753
0011;251404.694712327;7236980.54959753
0011;251406.638712327;7236980.54959753
0011;251408.582712327;7236980.54959753
0013;251355.562317119;7237005.86295729
0013;251357.562317119;7237005.86295729
0013;251359.562317119;7237005.86295729
0013;251361.562317119;7237005.86295729
0013;251363.562317119;7237005.86295729
0013;251365.562317119;7237005.86295729
0013;251367.562317119;7237005.86295729
0013;251369.562317119;7237005.86295729
0013;251371.562317119;7237005.86295729
0013;251373.562317119;7237005.86295729
0013;251355.562317119;7237003.91295729
0013;251357.562317119;7237003.91295729
0013;251359.562317119;7237003.91295729
0013;251361.562317119;7237003.91295729
0013;251363.562317119;7237003.91295729
0013;251365.562317119;7237003.91295729
0013;251367.562317119;7237003.91295729
0013;251369.562317119;7237003.91295729
0013;251371.562317119;7237003.91295729
0013;251373.562317119;7237003.91295729
0013;251355.562317119;7237001.96295728
0013;251357.562317119;7237001.96295728
0013;251359.562317119;7237001.96295728
0013;251361.562317119;7237001.96295728
0013;251363.562317119;7237001.96295728
0013;251365.562317119;7237001.96295728
0013;251367.562317119;7237001.96295728
0013;251369.562317119;7237001.96295728
0013;251371.562317119;7237001.96295728
0013;251373.562317119;7237001.96295728
0013;251355.562317119;7237000.01295728
0013;251357.562317119;7237000.01295728
0013;251359.562317119;7237000.01295728
0013;251361.562317119;7237000.01295728
0013;251363.562317119;7237000.01295728
0013;251365.562317119;7237000.01295728
0013;251367.562317119;7237000.01295728
0013;251369.562317119;7237000.01295728
0013;251371.562317119;7237000.01295728
0013;251373.562317119;7237000.01295728
0013;251355.562317119;7236998.06295729
0013;251357.562317119;7236998.06295729
0013;251359.562317119;7236998.06295729
0013;251361.562317119;7236998.06295729
0013;251363.562317119;7236998.06295729
0013;251365.562317119;7236998.06295729
0013;251367.562317119;7236998.06295729
0013;251369.562317119;7236998.06295729
0013;251371.562317119;7236998.06295729
0013;251373.562317119;7236998.06295729
0013;251355.562317119;7236996.11295728
0013;251357.562317119;7236996.11295728
0013;251359.562317119;7236996.11295728
0013;251361.562317119;7236996.11295728
0013;251363.562317119;7236996.11295728
0013;251365.562317119;7236996.11295728
0013;251367.562317119;7236996.11295728
0013;251369.562317119;7236996.11295728
0013;251371.562317119;7236996.11295728
0013;251373.562317119;7236996.11295728
0013;251355.562317119;7236994.16295728
0013;251357.562317119;7236994.16295728
0013;251359.562317119;7236994.16295728
0013;251361.562317119;7236994.16295728
0013;251363.562317119;7236994.16295728
0013;251365.562317119;7236994.16295728
0013;251367.562317119;7236994.16295728
0013;251369.562317119;7236994.16295728
0013;251371.562317119;7236994.16295728
0013;251373.562317119;7236994.16295728
0013;251355.562317119;7236992.21295728
0013;251357.562317119;7236992.21295728
0013;251359.562317119;7236992.21295728
0013;251361.562317119;7236992.21295728
0013;251363.562317119;7236992.21295728
0013;251365.562317119;7236992.21295728
0013;251367.562317119;7236992.21295728
0013;251369.562317119;7236992.21295728
0013;251371.562317119;7236992.21295728
0013;251373.562317119;7236992.21295728
0013;251355.562317119;7236990.26295728
0013;251357.562317119;7236990.26295728
0013;251359.562317119;7236990.26295728
0013;251361.562317119;7236990.26295728
0013;251363.562317119;7236990.26295728
0013;251365.562317119;7236990.26295728
0013;251367.562317119;7236990.26295728
0013;251369.562317119;7236990.26295728
0013;251371.562317119;7236990.26295728
0013;251373.562317119;7236990.26295728
0013;251355.562317119;7236988.31295728
0013;251357.562317119;7236988.31295728
0013;251359.562317119;7236988.31295728
0013;251361.562317119;7236988.31295728
0013;251363.562317119;7236988.31295728
0013;251365.562317119;7236988.31295728
0013;251367.562317119;7236988.31295728
0013;251369.562317119;7236988.31295728
0013;251371.562317119;7236988.31295728
0013;251373.562317119;7236988.31295728
0013;251355.562317119;7236986.36295728
0013;251357.562317119;7236986.36295728
0013;251359.562317119;7236986.36295728
0013;251361.562317119;7236986.36295728
0013;251363.562317119;7236986.36295728
0013;251365.562317119;7236986.36295728
0013;251367.562317119;7236986.36295728
0013;251369.562317119;7236986.36295728
0013;251371.562317119;7236986.36295728
0013;251373.562317119;7236986.36295728
0013;251355.562317119;7236984.41295728
0013;251357.562317119;7236984.41295728
0013;251359.562317119;7236984.41295728
0013;251361.562317119;7236984.41295728
0013;251363.562317119;7236984.41295728
0013;251365.562317119;7236984.41295728
0013;251367.562317119;7236984.41295728
0013;251369.562317119;7236984.41295728
0013;251371.562317119;7236984.41295728
0013;251373.562317119;7236984.41295728
0013;251355.562317119;7236982.46295728
0013;251357.562317119;7236982.46295728
0013;251359.562317119;7236982.46295728
0013;251361.562317119;7236982.46295728
0013;251363.562317119;7236982.46295728
0013;251365.562317119;7236982.46295728
0013;251367.562317119;7236982.46295728
0013;251369.562317119;7236982.46295728
0013;251371.562317119;7236982.46295728
0013;251373.562317119;7236982.46295728
0013;251355.562317119;7236980.51295728
0013;251357.562317119;7236980.51295728
0013;251359.562317119;7236980.51295728
0013;251361.562317119;7236980.51295728
0013;251363.562317119;7236980.51295728
0013;251365.562317119;7236980.51295728
0013;251367.562317119;7236980.51295728
0013;251369.562317119;7236980.51295728
0013;251371.562317119;7236980.51295728
0013;251373.562317119;7236980.51295728
0014;251337.372167879;7237008.52526146
0014;251339.394167879;7237008.52526146
0014;251341.416167879;7237008.52526146
0014;251343.438167879;7237008.52526146
0014;251345.460167879;7237008.52526146
0014;251347.482167879;7237008.52526146
0014;251349.504167879;7237008.52526146
0014;251351.526167879;7237008.52526146
0014;251353.548167879;7237008.52526146
0014;251337.372167879;7237006.52526146
0014;251339.394167879;7237006.52526146
0014;251341.416167879;7237006.52526146
0014;251343.438167879;7237006.52526146
0014;251345.460167879;7237006.52526146
0014;251347.482167879;7237006.52526146
0014;251349.504167879;7237006.52526146
0014;251351.526167879;7237006.52526146
0014;251353.548167879;7237006.52526146
0014;251337.372167879;7237004.52526146
