Codigo;Min;Max;Descricao
ACA001;0.35;0.65;Betass22
ACA002;0.35;0.65;Betass23
ACA003;0.35;0.65;Betaii22
ACA004;0.35;0.65;Betaii23
ACA005;0.35;0.65;Betais22
ACA006;0.35;0.65;Betais23
ACA007;0.35;0.65;Betasi22
ACA008;0.35;0.65;Betasi23
ACA009;0.5;0.5;K1
ACA010;0.1;0.1;K2
ACA011;2.0;2.0;Raio Femea Busca Macho
ACA012;0.35;0.55;Taxa de Fecundidade
